Mesh_ID,EDV_LV,Myo_vol_LV,ESV_LV,SV_LV,V1_LV,EF1_LV,dPdtmax_LV,dPdtmin_LV,PeakP_LV,tpeak_LV,ET_LV,tsys_LV,QRS_LV,AT1090_LV,AT_LV,EDV_RV,Myo_vol_RV,ESV_RV,SV_RV,EF_RV,V1_RV,EF1_RV,ESP_RV,dPdtmax_RV,dPdtmin_RV,PeakP_RV,tpeak_RV,ET_RV,tsys_RV
1,119.65,163.3058351451,55.614,64.036,90.248,24.5733389051,2.96,-1.855,126.961,97,79,142,74.1809,36.9911,72.1809,273.606,64.6844390345,142.677,130.929,47.8531172562,213.246,22.0609197167,24.267,0.991,-0.512,46.786,101,135,182
2,128.603,202.1596622692,51.027,77.576,98.402,23.4839000645,3.515,-2.079,131.792,89,98,154,90.2701,30.2485,88.2701,177.888,53.5438514277,99.791,78.097,43.9023430473,146.585,17.597027343,30.178,0.944,-0.586,37.073,86,103,148
3,152.279,154.9730148592,65.778,86.501,110.147,27.667636378,2.9,-2.017,136.618,100,95,154,88.6266,35.3853,86.6266,191.981,56.2993792608,110.84,81.141,42.2651199858,161.101,16.0849250707,29.582,0.972,-0.572,37.387,84,106,150
4,145.034,199.4631105683,57.18,87.854,105.63,27.1688017982,3.473,-2.184,142.024,93,97,153,88.8248,31.6259,86.3653,189.964,59.7328375465,107.032,82.932,43.6566928471,160.278,15.6271714641,26.976,0.926,-0.604,36.298,87,115,161
5,118.599,91.9766653898,55.855,62.744,94.714,20.1392929114,2.355,-1.733,114.43,98,99,161,78.5669,29.3976,76.2258,101.244,39.0501336655,57.457,43.787,43.2489826558,83.083,17.9378531073,45.036,1.013,-0.494,33.905,75,69,112
6,85.968,109.660211036,40.184,45.784,68.64,20.1563372418,3.254,-1.96,116.232,83,77,132,84.7682,31.8339,82.7682,163.845,45.2520457877,76.408,87.437,53.365680979,123.832,24.4212517929,34.623,1.173,-0.643,43.403,83,95,136
7,113.13,94.9988530527,49.677,63.453,84.963,24.897905065,2.487,-1.706,119.746,101,87,151,70.4064,28.9323,68.4064,139.66,52.8882909753,80.357,59.303,42.4624087069,115.363,17.3972504654,35.946,0.963,-0.516,35.645,82,87,133
8,142.547,135.194656282,64.998,77.549,107.61,24.5091092762,2.537,-1.84,125.508,106,97,163,112.469,38.1203,110.469,178.096,60.1072238405,107.221,70.875,39.7959527446,148.439,16.6522549636,31.494,0.93,-0.522,37.437,88,96,144
11,140.874,140.723551524,65.42,75.454,107.909,23.4003435694,2.655,-1.888,127.141,104,95,161,89.3458,32.0681,87.3458,168.57,55.634607002,96.936,71.634,42.4951058907,138.475,17.8531173993,34.198,1.028,-0.501,39.298,84,92,137
12,101.382,101.5751009908,45.137,56.245,77.413,23.6422639127,2.66,-1.763,118.656,97,80,144,76.1132,29.0949,74.1132,121.133,45.3137938351,66.017,55.116,45.5004003864,98.096,19.0179389597,41.991,1.063,-0.547,36.981,77,77,120
13,139.551,152.8389526351,59.194,80.357,103.644,25.7303781413,2.653,-1.911,129.6,104,96,161,92.7397,31.4925,90.7397,173.201,57.0358497162,101.188,72.013,41.5777045167,144.454,16.5974792293,31.149,0.952,-0.519,37.38,86,98,145
14,176.987,167.3198775541,79.883,97.104,129.387,26.8946306791,2.634,-1.992,136.959,110,103,168,85.5237,32.4232,83.5237,200.975,68.2176376862,123.891,77.084,38.355019281,167.829,16.4925985819,26.789,0.802,-0.555,35.783,96,112,162
15,103.318,100.3857953526,46.261,57.057,79.451,23.100524594,2.785,-1.834,122.189,95,81,144,79.1741,28.7658,77.1741,122.545,48.172194258,68.864,53.681,43.8051328084,99.979,18.4144599943,39.22,0.949,-0.493,34.701,81,80,126
16,138.871,134.4338438496,64.642,74.229,107.312,22.7254070324,2.813,-2.024,125.495,97,99,159,87.5092,31.3614,85.5092,145.481,52.6077162521,82.617,62.864,43.2111409737,122.238,15.9766567456,32.979,0.929,-0.545,34.602,81,95,140
17,118.196,118.151331702,51.19,67.006,89.819,24.0084266811,2.626,-1.884,123.465,101,92,157,82.098,30.0432,80.098,157.13,55.7522484239,92.489,64.641,41.1385476994,129.751,17.4244256348,35.056,0.94,-0.503,36.546,84,89,135
18,92.87,87.6857353647,38.778,54.092,68.626,26.1053084957,2.689,-1.823,120.415,95,75,137,73.9895,29.841,71.9895,119.108,47.4406584127,65.938,53.17,44.6401585116,96.635,18.8677502771,40.631,1.025,-0.498,35.524,79,79,123
19,115.226,130.91518194,48.96,66.266,88.114,23.5294117647,3.153,-1.819,126.804,89,87,143,77.5646,28.403,75.5646,116.251,44.8080346117,63.238,53.013,45.6021883683,95.556,17.8019974022,39.22,0.984,-0.481,33.027,77,83,126
