2026-09-12 07:38:55.000 numi-matter-cardiac-check[10346:7381944] Metal API Validation Enabled
cardiac_device=Apple M4 Pro abi=27 world_fingerprint=13521143237557242241
cardiac_progress accepted_steps=500 time_seconds=1.0000000475 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=1000 time_seconds=2.00000009499 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=1500 time_seconds=3.00000014249 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=2000 time_seconds=4.00000018999 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=2500 time_seconds=5.00000023749 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=3000 time_seconds=6.00000028498 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=3500 time_seconds=7.00000033248 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=4000 time_seconds=8.00000037998 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=4500 time_seconds=9.00000042748 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_progress accepted_steps=5000 time_seconds=10.000000475 max_chamber_volume_error_m3=1.72438396036e-06 max_flow_error_m3_per_s=0.000581323666987
cardiac_source_run=pass accepted_steps=5000 environments=2 failed_steps=0 dt_seconds=0.00200000009499 duration_seconds=10.000000475 clock=exact_binary_128 replay_pair=bitwise max_chamber_volume_error_m3=1.72438396036e-06 max_storage_error_m3=1.69498304822e-06 max_flow_error_m3_per_s=0.000581323666987 scaled_state_rms_error=0.0608694069875 relative_storage_invariant_error=7.35291530673e-07 reference_accepted_steps=161187 reference_rejected_steps=1676 wall_seconds=194.30262 qualification=source_model_numerical_comparison absolute_vascular_blood_volume=unqualified biological_calibration=unqualified
