parameter_index,source_value
0,91
1,18
2,0.012
3,0.0089999999999999993
4,-0.13
5,-0.13
6,-0.13
7,-0.13
8,5.2999999999999998
9,1.3
10,13.300000000000001
11,6.7000000000000002
12,0.021000000000000001
13,0.014
14,-25
15,8
16,5
17,-0.29999999999999999
18,-0.29999999999999999
19,-0.29999999999999999
20,-0.29999999999999999
21,13.5
22,2.7000000000000002
23,64
24,30
25,0.58999999999999997
26,0.69999999999999996
27,1
28,2.5
29,3.5
30,15
31,-4
32,7
33,40
34,5
35,2
36,7
37,5
38,60
39,20
40,1.3
41,0.5
42,1.3
43,3.3300000000000001
44,1.3500000000000001
45,19.289999999999999
46,1.3
47,3.3999999999999999
48,9
49,2
50,1.6399999999999999
51,9.6899999999999995
52,0.40000000000000002
53,4.9000000000000004
54,0.11
55,4.0999999999999996
56,0.11
57,3
58,0.070000000000000007
59,4.5
60,0.10000000000000001
61,0.019
62,0.0080000000000000002
63,0.028000000000000001
64,0.0060000000000000001
65,0.0060000000000000001
66,0.070000000000000007
67,0.0060000000000000001
68,0.01
69,0.0070000000000000001
70,5150
71,1500
72,1000
73,650
74,300
75,4166
76,715
77,645
78,30
79,1146
80,716
81,79
82,33
83,16
84,14
85,46
86,160
87,430
88,24
89,55
90,70
91,0
92,2
93,200
94,240
95,0
96,500
97,0.28000000000000003
98,0.13
99,0.10000000000000001
100,0.20000000000000001
101,0.10000000000000001
102,0.20999999999999999
103,0.20000000000000001
104,0.20000000000000001
105,0.0030000000000000001
106,0.014
107,0.010999999999999999
108,0.01
109,0.10000000000000001
110,0.070000000000000007
111,0.089999999999999997
112,5
113,10
114,42
115,2.5
116,3.5
117,30
118,0.12
119,0.20000000000000001
120,0.29999999999999999
121,10
122,4.5
123,20
124,20
125,14.5
126,16
127,14.5
128,0
129,0
130,5
131,5
132,106
133,106
134,14.5
135,6
136,21
137,5
138,200
139,16
140,10
141,20
142,300
143,200
144,169.30000000000001
145,60.200000000000003
146,1.8300000000000001
147,5
148,9
149,40
150,2.5
151,5.5
152,35
